year,yearAsString,registeredVehicleCount,monthlyCountList,fetch_date,fetch_timestamp
0,2020-January,284,,2025-08-27,2025-08-27 04:42:01 UTC
0,2020-February,369,,2025-08-27,2025-08-27 04:42:01 UTC
0,2020-March,294,,2025-08-27,2025-08-27 04:42:01 UTC
0,2020-April,0,,2025-08-27,2025-08-27 04:42:01 UTC
0,2020-May,143,,2025-08-27,2025-08-27 04:42:01 UTC
0,2020-June,157,,2025-08-27,2025-08-27 04:42:01 UTC
0,2020-July,144,,2025-08-27,2025-08-27 04:42:01 UTC
0,2020-August,243,,2025-08-27,2025-08-27 04:42:01 UTC
0,2020-September,265,,2025-08-27,2025-08-27 04:42:01 UTC
0,2020-October,258,,2025-08-27,2025-08-27 04:42:01 UTC
0,2020-November,360,,2025-08-27,2025-08-27 04:42:01 UTC
0,2020-December,535,,2025-08-27,2025-08-27 04:42:01 UTC
0,2021-January,606,,2025-08-27,2025-08-27 04:42:01 UTC
0,2021-February,626,,2025-08-27,2025-08-27 04:42:01 UTC
0,2021-March,1064,,2025-08-27,2025-08-27 04:42:01 UTC
0,2021-April,903,,2025-08-27,2025-08-27 04:42:01 UTC
0,2021-May,161,,2025-08-27,2025-08-27 04:42:01 UTC
0,2021-June,320,,2025-08-27,2025-08-27 04:42:01 UTC
0,2021-July,1799,,2025-08-27,2025-08-27 04:42:01 UTC
0,2021-August,1613,,2025-08-27,2025-08-27 04:42:01 UTC
0,2021-September,2175,,2025-08-27,2025-08-27 04:42:01 UTC
0,2021-October,2648,,2025-08-27,2025-08-27 04:42:01 UTC
0,2021-November,2203,,2025-08-27,2025-08-27 04:42:01 UTC
0,2021-December,1813,,2025-08-27,2025-08-27 04:42:01 UTC
0,2022-January,1885,,2025-08-27,2025-08-27 04:42:01 UTC
0,2022-February,2233,,2025-08-27,2025-08-27 04:42:01 UTC
0,2022-March,2233,,2025-08-27,2025-08-27 04:42:01 UTC
0,2022-April,2452,,2025-08-27,2025-08-27 04:42:01 UTC
0,2022-May,3339,,2025-08-27,2025-08-27 04:42:01 UTC
0,2022-June,3830,,2025-08-27,2025-08-27 04:42:01 UTC
0,2022-July,1289,,2025-08-27,2025-08-27 04:42:01 UTC
0,2022-August,5377,,2025-08-27,2025-08-27 04:42:01 UTC
0,2022-September,6282,,2025-08-27,2025-08-27 04:42:01 UTC
0,2022-October,7359,,2025-08-27,2025-08-27 04:42:01 UTC
0,2022-November,7839,,2025-08-27,2025-08-27 04:42:01 UTC
0,2022-December,7696,,2025-08-27,2025-08-27 04:42:01 UTC
0,2023-January,9226,,2025-08-27,2025-08-27 04:42:01 UTC
0,2023-February,10071,,2025-08-27,2025-08-27 04:42:01 UTC
0,2023-March,12183,,2025-08-27,2025-08-27 04:42:01 UTC
0,2023-April,7802,,2025-08-27,2025-08-27 04:42:01 UTC
0,2023-May,15433,,2025-08-27,2025-08-27 04:42:01 UTC
0,2023-June,4603,,2025-08-27,2025-08-27 04:42:01 UTC
0,2023-July,6685,,2025-08-27,2025-08-27 04:42:01 UTC
0,2023-August,7157,,2025-08-27,2025-08-27 04:42:01 UTC
0,2023-September,7196,,2025-08-27,2025-08-27 04:42:01 UTC
0,2023-October,8486,,2025-08-27,2025-08-27 04:42:01 UTC
0,2023-November,9343,,2025-08-27,2025-08-27 04:42:01 UTC
0,2023-December,6553,,2025-08-27,2025-08-27 04:42:01 UTC
0,2024-January,9376,,2025-08-27,2025-08-27 04:42:01 UTC
0,2024-February,9097,,2025-08-27,2025-08-27 04:42:01 UTC
0,2024-March,17429,,2025-08-27,2025-08-27 04:42:01 UTC
0,2024-April,4142,,2025-08-27,2025-08-27 04:42:01 UTC
0,2024-May,6150,,2025-08-27,2025-08-27 04:42:01 UTC
0,2024-June,6216,,2025-08-27,2025-08-27 04:42:01 UTC
0,2024-July,10219,,2025-08-27,2025-08-27 04:42:01 UTC
0,2024-August,11048,,2025-08-27,2025-08-27 04:42:01 UTC
0,2024-September,12926,,2025-08-27,2025-08-27 04:42:01 UTC
0,2024-October,16249,,2025-08-27,2025-08-27 04:42:01 UTC
0,2024-November,12964,,2025-08-27,2025-08-27 04:42:01 UTC
0,2024-December,10533,,2025-08-27,2025-08-27 04:42:01 UTC
0,2025-January,13097,,2025-08-27,2025-08-27 04:42:01 UTC
0,2025-February,11978,,2025-08-27,2025-08-27 04:42:01 UTC
0,2025-March,15653,,2025-08-27,2025-08-27 04:42:01 UTC
0,2025-April,13333,,2025-08-27,2025-08-27 04:42:01 UTC
0,2025-May,13047,,2025-08-27,2025-08-27 04:42:01 UTC
0,2025-June,14711,,2025-08-27,2025-08-27 04:42:01 UTC
0,2025-July,16438,,2025-08-27,2025-08-27 04:42:01 UTC
0,2025-August,13515,,2025-08-27,2025-08-27 04:42:01 UTC
