year,yearAsString,registeredVehicleCount,monthlyCountList,fetch_date,fetch_timestamp
0,2020-January,12,,2025-08-28,2025-08-28 04:41:39 UTC
0,2020-February,25,,2025-08-28,2025-08-28 04:41:39 UTC
0,2020-March,93,,2025-08-28,2025-08-28 04:41:39 UTC
0,2020-April,0,,2025-08-28,2025-08-28 04:41:39 UTC
0,2020-May,28,,2025-08-28,2025-08-28 04:41:39 UTC
0,2020-June,67,,2025-08-28,2025-08-28 04:41:39 UTC
0,2020-July,32,,2025-08-28,2025-08-28 04:41:39 UTC
0,2020-August,96,,2025-08-28,2025-08-28 04:41:39 UTC
0,2020-September,231,,2025-08-28,2025-08-28 04:41:39 UTC
0,2020-October,222,,2025-08-28,2025-08-28 04:41:39 UTC
0,2020-November,253,,2025-08-28,2025-08-28 04:41:39 UTC
0,2020-December,184,,2025-08-28,2025-08-28 04:41:39 UTC
0,2021-January,100,,2025-08-28,2025-08-28 04:41:39 UTC
0,2021-February,111,,2025-08-28,2025-08-28 04:41:39 UTC
0,2021-March,146,,2025-08-28,2025-08-28 04:41:39 UTC
0,2021-April,48,,2025-08-28,2025-08-28 04:41:39 UTC
0,2021-May,20,,2025-08-28,2025-08-28 04:41:39 UTC
0,2021-June,176,,2025-08-28,2025-08-28 04:41:39 UTC
0,2021-July,733,,2025-08-28,2025-08-28 04:41:39 UTC
0,2021-August,796,,2025-08-28,2025-08-28 04:41:39 UTC
0,2021-September,382,,2025-08-28,2025-08-28 04:41:39 UTC
0,2021-October,755,,2025-08-28,2025-08-28 04:41:39 UTC
0,2021-November,728,,2025-08-28,2025-08-28 04:41:39 UTC
0,2021-December,642,,2025-08-28,2025-08-28 04:41:39 UTC
0,2022-January,612,,2025-08-28,2025-08-28 04:41:39 UTC
0,2022-February,1372,,2025-08-28,2025-08-28 04:41:39 UTC
0,2022-March,856,,2025-08-28,2025-08-28 04:41:39 UTC
0,2022-April,1229,,2025-08-28,2025-08-28 04:41:39 UTC
0,2022-May,1816,,2025-08-28,2025-08-28 04:41:39 UTC
0,2022-June,1825,,2025-08-28,2025-08-28 04:41:39 UTC
0,2022-July,2484,,2025-08-28,2025-08-28 04:41:39 UTC
0,2022-August,2624,,2025-08-28,2025-08-28 04:41:39 UTC
0,2022-September,2657,,2025-08-28,2025-08-28 04:41:39 UTC
0,2022-October,3551,,2025-08-28,2025-08-28 04:41:39 UTC
0,2022-November,3060,,2025-08-28,2025-08-28 04:41:39 UTC
0,2022-December,3244,,2025-08-28,2025-08-28 04:41:39 UTC
0,2023-January,2635,,2025-08-28,2025-08-28 04:41:39 UTC
0,2023-February,1219,,2025-08-28,2025-08-28 04:41:39 UTC
0,2023-March,2209,,2025-08-28,2025-08-28 04:41:39 UTC
0,2023-April,3720,,2025-08-28,2025-08-28 04:41:39 UTC
0,2023-May,10002,,2025-08-28,2025-08-28 04:41:39 UTC
0,2023-June,3009,,2025-08-28,2025-08-28 04:41:39 UTC
0,2023-July,4128,,2025-08-28,2025-08-28 04:41:39 UTC
0,2023-August,6582,,2025-08-28,2025-08-28 04:41:39 UTC
0,2023-September,7107,,2025-08-28,2025-08-28 04:41:39 UTC
0,2023-October,9072,,2025-08-28,2025-08-28 04:41:39 UTC
0,2023-November,11849,,2025-08-28,2025-08-28 04:41:39 UTC
0,2023-December,10425,,2025-08-28,2025-08-28 04:41:39 UTC
0,2024-January,10893,,2025-08-28,2025-08-28 04:41:39 UTC
0,2024-February,11765,,2025-08-28,2025-08-28 04:41:39 UTC
0,2024-March,18093,,2025-08-28,2025-08-28 04:41:39 UTC
0,2024-April,7561,,2025-08-28,2025-08-28 04:41:39 UTC
0,2024-May,9250,,2025-08-28,2025-08-28 04:41:39 UTC
0,2024-June,9051,,2025-08-28,2025-08-28 04:41:39 UTC
0,2024-July,17766,,2025-08-28,2025-08-28 04:41:39 UTC
0,2024-August,16819,,2025-08-28,2025-08-28 04:41:39 UTC
0,2024-September,19212,,2025-08-28,2025-08-28 04:41:39 UTC
0,2024-October,28444,,2025-08-28,2025-08-28 04:41:39 UTC
0,2024-November,26418,,2025-08-28,2025-08-28 04:41:39 UTC
0,2024-December,18391,,2025-08-28,2025-08-28 04:41:39 UTC
0,2025-January,21472,,2025-08-28,2025-08-28 04:41:39 UTC
0,2025-February,21570,,2025-08-28,2025-08-28 04:41:39 UTC
0,2025-March,35215,,2025-08-28,2025-08-28 04:41:39 UTC
0,2025-April,19162,,2025-08-28,2025-08-28 04:41:39 UTC
0,2025-May,21971,,2025-08-28,2025-08-28 04:41:39 UTC
0,2025-June,23174,,2025-08-28,2025-08-28 04:41:39 UTC
0,2025-July,19788,,2025-08-28,2025-08-28 04:41:39 UTC
0,2025-August,9022,,2025-08-28,2025-08-28 04:41:39 UTC
