date,Bajaj Auto Ltd,Tvs Motor Company Ltd,Ola Electric Technologies Pvt Ltd,Ather Energy Ltd,Hero Motocorp Ltd
2025-08-04,0,0,371,0,0
2025-08-05,0,0,430,0,0
2025-08-06,0,0,430,0,0
2025-08-07,0,0,429,0,0
2025-08-08,0,0,424,0,0
2025-08-09,0,0,409,0,0
2025-08-10,0,0,320,0,0
2025-08-11,0,0,400,0,0
2025-08-12,0,0,518,0,0
2025-08-13,0,0,450,0,0
2025-08-14,0,0,562,0,0
2025-08-15,0,0,514,0,0
2025-08-16,0,0,529,0,0
2025-08-17,0,0,471,0,0
2025-08-18,0,0,754,0,0
2025-08-19,0,0,800,0,0
2025-08-20,277,917,910,727,450
2025-08-21,278,898,707,703,461
2025-08-22,262,844,689,723,471
2025-08-23,329,648,392,612,452
2025-08-24,75,303,435,147,132
2025-08-25,351,1011,998,822,563
2025-08-26,0,0,0,0,0
2025-08-27,597,919,815,881,670
2025-08-28,962,1832,2015,1344,1051
2025-08-29,0,0,0,0,0
2025-08-30,761,1322,961,1099,646
2025-08-31,1091,1331,2331,1292,1002
