date,time,attempt_number,total_attempts,success,successful_fetches,total_manufacturers,error_details,fetch_times
2025-08-23,21:18:43,5,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-24,04:44:38,1,5,True,5,5,,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-24,05:07:36,1,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-24,05:39:54,2,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-24,06:46:39,3,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-24,10:38:42,4,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-24,16:42:50,5,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-25,04:46:43,1,5,True,5,5,,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-25,05:41:57,2,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-25,06:51:02,3,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-25,10:42:22,4,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-25,16:46:44,5,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-26,04:42:58,1,5,False,0,5,Failed to fetch Bajaj Auto Ltd; Failed to fetch Tvs Motor Company Ltd; Failed to fetch Ola Electric Technologies Pvt Ltd; Failed to fetch Ather Energy Ltd; Failed to fetch Hero Motocorp Ltd,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-26,05:41:11,2,5,False,0,5,Failed to fetch Bajaj Auto Ltd; Failed to fetch Tvs Motor Company Ltd; Failed to fetch Ola Electric Technologies Pvt Ltd; Failed to fetch Ather Energy Ltd; Failed to fetch Hero Motocorp Ltd,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-26,06:50:24,3,5,False,0,5,Failed to fetch Bajaj Auto Ltd; Failed to fetch Tvs Motor Company Ltd; Failed to fetch Ola Electric Technologies Pvt Ltd; Failed to fetch Ather Energy Ltd; Failed to fetch Hero Motocorp Ltd,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-26,10:42:19,4,5,False,0,5,Failed to fetch Bajaj Auto Ltd; Failed to fetch Tvs Motor Company Ltd; Failed to fetch Ola Electric Technologies Pvt Ltd; Failed to fetch Ather Energy Ltd; Failed to fetch Hero Motocorp Ltd,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-26,16:44:56,5,5,True,5,5,,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-27,04:42:03,1,5,True,5,5,,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-27,05:39:08,2,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-27,06:46:44,3,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-27,10:39:59,4,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-27,16:45:04,5,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-28,04:41:48,1,5,True,5,5,,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-28,05:39:36,2,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-28,06:48:07,3,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-28,10:40:41,4,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-28,16:44:50,5,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-29,04:41:43,1,5,True,5,5,,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-29,05:39:00,2,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-29,06:46:49,3,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-29,10:40:07,4,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-29,16:44:18,5,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-30,04:39:34,1,5,True,5,5,,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-30,05:37:12,2,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-30,06:43:08,3,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-30,10:36:51,4,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-30,16:40:42,5,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-31,04:40:16,1,5,True,5,5,,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-31,05:37:58,2,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-31,06:44:21,3,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-31,10:37:01,4,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-08-31,16:41:15,5,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-09-01,04:46:20,1,5,True,5,5,,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-09-01,05:40:30,2,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-09-01,06:51:06,3,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-09-01,10:42:25,4,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-09-01,13:42:16,4,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
2025-09-01,16:43:20,5,5,True,5,5,Data already fetched today,"04:30, 05:30, 06:30, 10:30, 16:30"
