year,yearAsString,registeredVehicleCount,monthlyCountList,fetch_date,fetch_timestamp
0,2022-November,52,,2025-08-26,2025-08-26 16:44:56 UTC
0,2022-December,130,,2025-08-26,2025-08-26 16:44:56 UTC
0,2023-January,157,,2025-08-26,2025-08-26 16:44:56 UTC
0,2023-February,304,,2025-08-26,2025-08-26 16:44:56 UTC
0,2023-March,298,,2025-08-26,2025-08-26 16:44:56 UTC
0,2023-April,145,,2025-08-26,2025-08-26 16:44:56 UTC
0,2023-May,752,,2025-08-26,2025-08-26 16:44:56 UTC
0,2023-June,465,,2025-08-26,2025-08-26 16:44:56 UTC
0,2023-July,990,,2025-08-26,2025-08-26 16:44:56 UTC
0,2023-August,915,,2025-08-26,2025-08-26 16:44:56 UTC
0,2023-September,534,,2025-08-26,2025-08-26 16:44:56 UTC
0,2023-October,1937,,2025-08-26,2025-08-26 16:44:56 UTC
0,2023-November,3047,,2025-08-26,2025-08-26 16:44:56 UTC
0,2023-December,1599,,2025-08-26,2025-08-26 16:44:56 UTC
0,2024-January,1496,,2025-08-26,2025-08-26 16:44:56 UTC
0,2024-February,1757,,2025-08-26,2025-08-26 16:44:56 UTC
0,2024-March,4086,,2025-08-26,2025-08-26 16:44:56 UTC
0,2024-April,956,,2025-08-26,2025-08-26 16:44:56 UTC
0,2024-May,2460,,2025-08-26,2025-08-26 16:44:56 UTC
0,2024-June,3081,,2025-08-26,2025-08-26 16:44:56 UTC
0,2024-July,5067,,2025-08-26,2025-08-26 16:44:56 UTC
0,2024-August,4760,,2025-08-26,2025-08-26 16:44:56 UTC
0,2024-September,4320,,2025-08-26,2025-08-26 16:44:56 UTC
0,2024-October,7356,,2025-08-26,2025-08-26 16:44:56 UTC
0,2024-November,7351,,2025-08-26,2025-08-26 16:44:56 UTC
0,2024-December,1022,,2025-08-26,2025-08-26 16:44:56 UTC
0,2025-January,1626,,2025-08-26,2025-08-26 16:44:56 UTC
0,2025-February,2696,,2025-08-26,2025-08-26 16:44:56 UTC
0,2025-March,8044,,2025-08-26,2025-08-26 16:44:56 UTC
0,2025-April,6150,,2025-08-26,2025-08-26 16:44:56 UTC
0,2025-May,7192,,2025-08-26,2025-08-26 16:44:56 UTC
0,2025-June,7703,,2025-08-26,2025-08-26 16:44:56 UTC
0,2025-July,10542,,2025-08-26,2025-08-26 16:44:56 UTC
0,2025-August,10019,,2025-08-26,2025-08-26 16:44:56 UTC
