year,yearAsString,registeredVehicleCount,monthlyCountList,fetch_date
0,2024-January,4305,,2025-08-22
0,2024-February,4744,,2025-08-22
0,2024-March,7407,,2025-08-22
0,2024-April,3078,,2025-08-22
0,2024-May,4446,,2025-08-22
0,2024-June,4740,,2025-08-22
0,2024-July,6967,,2025-08-22
0,2024-August,5128,,2025-08-22
0,2024-September,6129,,2025-08-22
0,2024-October,7495,,2025-08-22
0,2024-November,7153,,2025-08-22
0,2024-December,5590,,2025-08-22
0,2025-January,6257,,2025-08-22
0,2025-February,5983,,2025-08-22
0,2025-March,6824,,2025-08-22
0,2025-April,5789,,2025-08-22
0,2025-May,6762,,2025-08-22
0,2025-June,7469,,2025-08-22
0,2025-July,10051,,2025-08-22
0,2025-August,5595,,2025-08-22
