date,Bajaj Auto Ltd,Tvs Motor Company Ltd,Ola Electric Technologies Pvt Ltd,Ather Energy Ltd,Hero Motocorp Ltd
2020-01,12.0,0.0,0.0,284.0,0.0
2020-02,25.0,1.0,0.0,369.0,0.0
2020-03,93.0,19.0,0.0,294.0,0.0
2020-04,0.0,0.0,0.0,0.0,0.0
2020-05,28.0,19.0,0.0,143.0,0.0
2020-06,67.0,28.0,0.0,157.0,0.0
2020-07,32.0,26.0,0.0,144.0,0.0
2020-08,96.0,22.0,0.0,243.0,0.0
2020-09,231.0,25.0,0.0,265.0,0.0
2020-10,222.0,26.0,0.0,258.0,0.0
2020-11,253.0,26.0,0.0,360.0,0.0
2020-12,184.0,42.0,0.0,535.0,0.0
2021-01,100.0,149.0,0.0,606.0,0.0
2021-02,111.0,208.0,0.0,626.0,0.0
2021-03,146.0,267.0,0.0,1064.0,0.0
2021-04,48.0,302.0,0.0,903.0,0.0
2021-05,20.0,9.0,0.0,161.0,0.0
2021-06,176.0,208.0,0.0,320.0,0.0
2021-07,733.0,648.0,0.0,1799.0,0.0
2021-08,796.0,651.0,0.0,1613.0,0.0
2021-09,382.0,688.0,0.0,2175.0,0.0
2021-10,755.0,486.0,0.0,2648.0,0.0
2021-11,728.0,522.0,0.0,2203.0,0.0
2021-12,642.0,1120.0,240.0,1813.0,0.0
2022-01,612.0,1155.0,1108.0,1885.0,0.0
2022-02,1372.0,1559.0,3917.0,2233.0,0.0
2022-03,856.0,2392.0,9153.0,2233.0,0.0
2022-04,1229.0,1500.0,12714.0,2452.0,0.0
2022-05,1816.0,478.0,9268.0,3339.0,0.0
2022-06,1825.0,1984.0,5900.0,3830.0,0.0
2022-07,2484.0,4351.0,3866.0,1289.0,0.0
2022-08,2624.0,6428.0,3476.0,5377.0,0.0
2022-09,2657.0,4002.0,9898.0,6282.0,0.0
2022-10,3551.0,5822.0,16363.0,7359.0,0.0
2022-11,3060.0,8150.0,16388.0,7839.0,52.0
2022-12,3244.0,9365.0,17374.0,7696.0,130.0
2023-01,2635.0,10465.0,18357.0,9226.0,157.0
2023-02,1219.0,12674.0,17776.0,10071.0,304.0
2023-03,2209.0,16899.0,21440.0,12183.0,298.0
2023-04,3720.0,8760.0,22071.0,7802.0,145.0
2023-05,10002.0,20434.0,28746.0,15433.0,752.0
2023-06,3009.0,7865.0,17693.0,4603.0,465.0
2023-07,4128.0,10397.0,19406.0,6685.0,990.0
2023-08,6582.0,15485.0,18750.0,7157.0,915.0
2023-09,7107.0,15615.0,18712.0,7196.0,534.0
2023-10,9072.0,16506.0,23895.0,8486.0,1937.0
2023-11,11849.0,19166.0,30079.0,9343.0,3047.0
2023-12,10425.0,12332.0,30473.0,6553.0,1599.0
2024-01,10894.0,15359.0,32426.0,9376.0,1496.0
2024-02,11765.0,14639.0,34063.0,9097.0,1757.0
2024-03,18093.0,26647.0,53647.0,17429.0,4086.0
2024-04,7561.0,7762.0,34164.0,4142.0,956.0
2024-05,9250.0,11868.0,37390.0,6150.0,2460.0
2024-06,9051.0,14030.0,36861.0,6216.0,3081.0
2024-07,17766.0,19656.0,41805.0,10219.0,5067.0
2024-08,16819.0,17666.0,27626.0,11048.0,4760.0
2024-09,19212.0,18257.0,24755.0,12926.0,4320.0
2024-10,28444.0,30240.0,41850.0,16249.0,7356.0
2024-11,26418.0,27336.0,29326.0,12964.0,7351.0
2024-12,18391.0,17372.0,13815.0,10533.0,1022.0
2025-01,21472.0,24028.0,24420.0,13097.0,1626.0
2025-02,21570.0,18955.0,8689.0,11978.0,2696.0
2025-03,35215.0,30771.0,23649.0,15653.0,8044.0
2025-04,19162.0,19979.0,19837.0,13333.0,6150.0
2025-05,21971.0,24786.0,18591.0,13047.0,7192.0
2025-06,23174.0,25501.0,20298.0,14711.0,7703.0
2025-07,19790.0,22444.0,17926.0,16438.0,10547.0
2025-08,11833.0,24316.0,19075.0,18131.0,13383.0
2025-09,0.0,1.0,21.0,0.0,0.0
