year,yearAsString,registeredVehicleCount,monthlyCountList,fetch_date,fetch_timestamp
0,2021-December,240,,2025-08-30,2025-08-30 04:39:32 UTC
0,2022-January,1108,,2025-08-30,2025-08-30 04:39:32 UTC
0,2022-February,3917,,2025-08-30,2025-08-30 04:39:32 UTC
0,2022-March,9153,,2025-08-30,2025-08-30 04:39:32 UTC
0,2022-April,12714,,2025-08-30,2025-08-30 04:39:32 UTC
0,2022-May,9268,,2025-08-30,2025-08-30 04:39:32 UTC
0,2022-June,5900,,2025-08-30,2025-08-30 04:39:32 UTC
0,2022-July,3866,,2025-08-30,2025-08-30 04:39:32 UTC
0,2022-August,3476,,2025-08-30,2025-08-30 04:39:32 UTC
0,2022-September,9898,,2025-08-30,2025-08-30 04:39:32 UTC
0,2022-October,16363,,2025-08-30,2025-08-30 04:39:32 UTC
0,2022-November,16388,,2025-08-30,2025-08-30 04:39:32 UTC
0,2022-December,17374,,2025-08-30,2025-08-30 04:39:32 UTC
0,2023-January,18357,,2025-08-30,2025-08-30 04:39:32 UTC
0,2023-February,17776,,2025-08-30,2025-08-30 04:39:32 UTC
0,2023-March,21440,,2025-08-30,2025-08-30 04:39:32 UTC
0,2023-April,22071,,2025-08-30,2025-08-30 04:39:32 UTC
0,2023-May,28746,,2025-08-30,2025-08-30 04:39:32 UTC
0,2023-June,17693,,2025-08-30,2025-08-30 04:39:32 UTC
0,2023-July,19406,,2025-08-30,2025-08-30 04:39:32 UTC
0,2023-August,18750,,2025-08-30,2025-08-30 04:39:32 UTC
0,2023-September,18712,,2025-08-30,2025-08-30 04:39:32 UTC
0,2023-October,23895,,2025-08-30,2025-08-30 04:39:32 UTC
0,2023-November,30079,,2025-08-30,2025-08-30 04:39:32 UTC
0,2023-December,30473,,2025-08-30,2025-08-30 04:39:32 UTC
0,2024-January,32426,,2025-08-30,2025-08-30 04:39:32 UTC
0,2024-February,34063,,2025-08-30,2025-08-30 04:39:32 UTC
0,2024-March,53647,,2025-08-30,2025-08-30 04:39:32 UTC
0,2024-April,34164,,2025-08-30,2025-08-30 04:39:32 UTC
0,2024-May,37390,,2025-08-30,2025-08-30 04:39:32 UTC
0,2024-June,36861,,2025-08-30,2025-08-30 04:39:32 UTC
0,2024-July,41804,,2025-08-30,2025-08-30 04:39:32 UTC
0,2024-August,27626,,2025-08-30,2025-08-30 04:39:32 UTC
0,2024-September,24755,,2025-08-30,2025-08-30 04:39:32 UTC
0,2024-October,41850,,2025-08-30,2025-08-30 04:39:32 UTC
0,2024-November,29326,,2025-08-30,2025-08-30 04:39:32 UTC
0,2024-December,13814,,2025-08-30,2025-08-30 04:39:32 UTC
0,2025-January,24420,,2025-08-30,2025-08-30 04:39:32 UTC
0,2025-February,8689,,2025-08-30,2025-08-30 04:39:32 UTC
0,2025-March,23649,,2025-08-30,2025-08-30 04:39:32 UTC
0,2025-April,19837,,2025-08-30,2025-08-30 04:39:32 UTC
0,2025-May,18591,,2025-08-30,2025-08-30 04:39:32 UTC
0,2025-June,20298,,2025-08-30,2025-08-30 04:39:32 UTC
0,2025-July,17926,,2025-08-30,2025-08-30 04:39:32 UTC
0,2025-August,15785,,2025-08-30,2025-08-30 04:39:32 UTC
