year,yearAsString,registeredVehicleCount,monthlyCountList,fetch_date,fetch_timestamp
0,2020-February,1,,2025-08-25,2025-08-25 04:46:37 UTC
0,2020-March,19,,2025-08-25,2025-08-25 04:46:37 UTC
0,2020-April,0,,2025-08-25,2025-08-25 04:46:37 UTC
0,2020-May,19,,2025-08-25,2025-08-25 04:46:37 UTC
0,2020-June,28,,2025-08-25,2025-08-25 04:46:37 UTC
0,2020-July,26,,2025-08-25,2025-08-25 04:46:37 UTC
0,2020-August,22,,2025-08-25,2025-08-25 04:46:37 UTC
0,2020-September,25,,2025-08-25,2025-08-25 04:46:37 UTC
0,2020-October,26,,2025-08-25,2025-08-25 04:46:37 UTC
0,2020-November,26,,2025-08-25,2025-08-25 04:46:37 UTC
0,2020-December,42,,2025-08-25,2025-08-25 04:46:37 UTC
0,2021-January,149,,2025-08-25,2025-08-25 04:46:37 UTC
0,2021-February,208,,2025-08-25,2025-08-25 04:46:37 UTC
0,2021-March,267,,2025-08-25,2025-08-25 04:46:37 UTC
0,2021-April,302,,2025-08-25,2025-08-25 04:46:37 UTC
0,2021-May,9,,2025-08-25,2025-08-25 04:46:37 UTC
0,2021-June,208,,2025-08-25,2025-08-25 04:46:37 UTC
0,2021-July,648,,2025-08-25,2025-08-25 04:46:37 UTC
0,2021-August,651,,2025-08-25,2025-08-25 04:46:37 UTC
0,2021-September,688,,2025-08-25,2025-08-25 04:46:37 UTC
0,2021-October,486,,2025-08-25,2025-08-25 04:46:37 UTC
0,2021-November,522,,2025-08-25,2025-08-25 04:46:37 UTC
0,2021-December,1120,,2025-08-25,2025-08-25 04:46:37 UTC
0,2022-January,1155,,2025-08-25,2025-08-25 04:46:37 UTC
0,2022-February,1559,,2025-08-25,2025-08-25 04:46:37 UTC
0,2022-March,2392,,2025-08-25,2025-08-25 04:46:37 UTC
0,2022-April,1500,,2025-08-25,2025-08-25 04:46:37 UTC
0,2022-May,478,,2025-08-25,2025-08-25 04:46:37 UTC
0,2022-June,1984,,2025-08-25,2025-08-25 04:46:37 UTC
0,2022-July,4351,,2025-08-25,2025-08-25 04:46:37 UTC
0,2022-August,6428,,2025-08-25,2025-08-25 04:46:37 UTC
0,2022-September,4002,,2025-08-25,2025-08-25 04:46:37 UTC
0,2022-October,5822,,2025-08-25,2025-08-25 04:46:37 UTC
0,2022-November,8150,,2025-08-25,2025-08-25 04:46:37 UTC
0,2022-December,9365,,2025-08-25,2025-08-25 04:46:37 UTC
0,2023-January,10465,,2025-08-25,2025-08-25 04:46:37 UTC
0,2023-February,12674,,2025-08-25,2025-08-25 04:46:37 UTC
0,2023-March,16899,,2025-08-25,2025-08-25 04:46:37 UTC
0,2023-April,8760,,2025-08-25,2025-08-25 04:46:37 UTC
0,2023-May,20434,,2025-08-25,2025-08-25 04:46:37 UTC
0,2023-June,7865,,2025-08-25,2025-08-25 04:46:37 UTC
0,2023-July,10397,,2025-08-25,2025-08-25 04:46:37 UTC
0,2023-August,15485,,2025-08-25,2025-08-25 04:46:37 UTC
0,2023-September,15615,,2025-08-25,2025-08-25 04:46:37 UTC
0,2023-October,16506,,2025-08-25,2025-08-25 04:46:37 UTC
0,2023-November,19166,,2025-08-25,2025-08-25 04:46:37 UTC
0,2023-December,12332,,2025-08-25,2025-08-25 04:46:37 UTC
0,2024-January,15359,,2025-08-25,2025-08-25 04:46:37 UTC
0,2024-February,14639,,2025-08-25,2025-08-25 04:46:37 UTC
0,2024-March,26647,,2025-08-25,2025-08-25 04:46:37 UTC
0,2024-April,7762,,2025-08-25,2025-08-25 04:46:37 UTC
0,2024-May,11868,,2025-08-25,2025-08-25 04:46:37 UTC
0,2024-June,14030,,2025-08-25,2025-08-25 04:46:37 UTC
0,2024-July,19656,,2025-08-25,2025-08-25 04:46:37 UTC
0,2024-August,17666,,2025-08-25,2025-08-25 04:46:37 UTC
0,2024-September,18257,,2025-08-25,2025-08-25 04:46:37 UTC
0,2024-October,30240,,2025-08-25,2025-08-25 04:46:37 UTC
0,2024-November,27336,,2025-08-25,2025-08-25 04:46:37 UTC
0,2024-December,17372,,2025-08-25,2025-08-25 04:46:37 UTC
0,2025-January,24028,,2025-08-25,2025-08-25 04:46:37 UTC
0,2025-February,18955,,2025-08-25,2025-08-25 04:46:37 UTC
0,2025-March,30771,,2025-08-25,2025-08-25 04:46:37 UTC
0,2025-April,19979,,2025-08-25,2025-08-25 04:46:37 UTC
0,2025-May,24786,,2025-08-25,2025-08-25 04:46:37 UTC
0,2025-June,25501,,2025-08-25,2025-08-25 04:46:37 UTC
0,2025-July,22444,,2025-08-25,2025-08-25 04:46:37 UTC
0,2025-August,17901,,2025-08-25,2025-08-25 04:46:37 UTC
